Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Continent,Location,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Damages ('000 US$),CPI
2008,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical Storm ""Fay""",United States of America (the),USA,Americas,"Florida, Georgia, Alabama, Mississippi provinces",100.0,Kph,2008,8.0,20.0,2008,8.0,28.0,12.0,180000.0,83.18902296
2008,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Ike,United States of America (the),USA,Americas,"Galveston, Brazoria, Harris, Chambers, Jefferson districts (Texas province), Louisiana, Tennessee, Arkansas, Ohio, Indiana, Illinois, Missouri, Kentucky, Pennsylvania, Michigan provinces",200.0,Kph,2008,9.0,12.0,2008,9.0,16.0,82.0,30000000.0,83.18902296
2008,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Gustav""",United States of America (the),USA,Americas,"Louisiana, Mississippi, Texas, Alabama provinces",,Kph,2008,9.0,1.0,2008,9.0,1.0,43.0,7000000.0,83.18902296
2008,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Hanna,United States of America (the),USA,Americas,"Florida, North Carolina, Maryland provinces",,Kph,2008,8.0,28.0,2008,8.0,28.0,7.0,160000.0,83.18902296
2009,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Ida""",United States of America (the),USA,Americas,"Kent, Sussex districts (Delaware province), Atlantic, Burlington, Cape May, Cumberland, Monmouth, Ocean districts (New Jersey province), Virginia, New York, North Carolina, Pennsylvannia provinces",,Kph,2009,11.0,9.0,2009,11.0,10.0,6.0,600000.0,82.89324989
2009,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Bill,United States of America (the),USA,Americas,Maine province,,Kph,2009,8.0,23.0,2009,8.0,23.0,3.0,,82.89324989
2010,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Earl,United States of America (the),USA,Americas,"North Carolina, Virginia, Maryland, Massachusetts, Rhode Island provinces",,Kph,2010,9.0,3.0,2010,9.0,3.0,1.0,100000.0,84.25273272
2010,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Hermine,United States of America (the),USA,Americas,Texas province,,Kph,2010,9.0,7.0,2010,9.0,11.0,8.0,,84.25273272
2011,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Irene,United States of America (the),USA,Americas,"New York, New Jersey, Pennsylvania, North Carolina, Virginia, Maryland, District of Columbia, Connecticut, Florida provinces",252912.0,Kph,2011,8.0,27.0,2011,9.0,13.0,46.0,7300000.0,86.91246502
2011,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Storm Lee,United States of America (the),USA,Americas,"Louisiana, Mississippi, Alabama, Texas, New York, Pennsylvania, District of Columbia, Georgia, Maryland, Tennessee, Virginia provinces",75.0,Kph,2011,9.0,4.0,2011,9.0,9.0,15.0,750000.0,86.91246502
